date,county,state,fips,cases,deaths
4/30/2020,Adams,Illinois,1,40,0
4/30/2020,Alexander,Illinois,3,3,0
4/30/2020,Bond,Illinois,5,6,1
4/30/2020,Boone,Illinois,7,98,9
4/30/2020,Bureau,Illinois,11,10,0
4/30/2020,Calhoun,Illinois,13,1,0
4/30/2020,Carroll,Illinois,15,9,2
4/30/2020,Cass,Illinois,17,33,0
4/30/2020,Champaign,Illinois,19,130,6
4/30/2020,Christian,Illinois,21,30,5
4/30/2020,Clark,Illinois,23,5,0
4/30/2020,Clay,Illinois,25,2,0
4/30/2020,Clinton,Illinois,27,106,3
4/30/2020,Coles,Illinois,29,22,1
4/30/2020,Cook,Illinois,31,36513,1607
4/30/2020,Crawford,Illinois,33,10,0
4/30/2020,Cumberland,Illinois,35,3,0
4/30/2020,De Witt,Illinois,39,3,0
4/30/2020,DeKalb,Illinois,37,95,1
4/30/2020,Douglas,Illinois,41,14,0
4/30/2020,DuPage,Illinois,43,3081,163
4/30/2020,Effingham,Illinois,49,5,1
4/30/2020,Fayette,Illinois,51,16,2
4/30/2020,Ford,Illinois,53,9,1
4/30/2020,Franklin,Illinois,55,8,0
4/30/2020,Fulton,Illinois,57,3,0
4/30/2020,Gallatin,Illinois,59,2,0
4/30/2020,Greene,Illinois,61,3,0
4/30/2020,Grundy,Illinois,63,35,0
4/30/2020,Hamilton,Illinois,65,2,0
4/30/2020,Hancock,Illinois,67,6,0
4/30/2020,Hardin,Illinois,69,1,0
4/30/2020,Henderson,Illinois,71,4,0
4/30/2020,Henry,Illinois,73,45,0
4/30/2020,Iroquois,Illinois,75,27,0
4/30/2020,Jackson,Illinois,77,107,7
4/30/2020,Jasper,Illinois,79,44,5
4/30/2020,Jefferson,Illinois,81,83,12
4/30/2020,Jersey,Illinois,83,12,1
4/30/2020,Jo Daviess,Illinois,85,13,0
4/30/2020,Johnson,Illinois,87,4,0
4/30/2020,Kane,Illinois,89,1526,48
4/30/2020,Kankakee,Illinois,91,338,28
4/30/2020,Kendall,Illinois,93,266,7
4/30/2020,Knox,Illinois,95,46,0
4/30/2020,LaSalle,Illinois,99,53,1
4/30/2020,Lake,Illinois,97,3509,138
4/30/2020,Lawrence,Illinois,101,3,0
4/30/2020,Lee,Illinois,103,24,0
4/30/2020,Livingston,Illinois,105,20,1
4/30/2020,Logan,Illinois,107,7,0
4/30/2020,Macon,Illinois,115,106,12
4/30/2020,Macoupin,Illinois,117,30,0
4/30/2020,Madison,Illinois,119,333,21
4/30/2020,Marion,Illinois,121,33,0
4/30/2020,Marshall,Illinois,123,4,0
4/30/2020,Mason,Illinois,125,12,0
4/30/2020,Massac,Illinois,127,4,0
4/30/2020,McDonough,Illinois,109,18,0
4/30/2020,McHenry,Illinois,111,621,34
4/30/2020,McLean,Illinois,113,95,3
4/30/2020,Menard,Illinois,129,8,0
4/30/2020,Mercer,Illinois,131,8,0
4/30/2020,Monroe,Illinois,133,70,10
4/30/2020,Montgomery,Illinois,135,26,0
4/30/2020,Morgan,Illinois,137,22,1
4/30/2020,Moultrie,Illinois,139,5,0
4/30/2020,Ogle,Illinois,141,119,1
4/30/2020,Peoria,Illinois,143,86,3
4/30/2020,Perry,Illinois,145,21,0
4/30/2020,Piatt,Illinois,147,7,0
4/30/2020,Pike,Illinois,149,1,0
4/30/2020,Pulaski,Illinois,153,18,0
4/30/2020,Randolph,Illinois,157,156,1
4/30/2020,Richland,Illinois,159,3,0
4/30/2020,Rock Island,Illinois,161,377,9
4/30/2020,Saline,Illinois,165,3,0
4/30/2020,Sangamon,Illinois,167,178,9
4/30/2020,Schuyler,Illinois,169,2,0
4/30/2020,Shelby,Illinois,173,10,1
4/30/2020,St. Clair,Illinois,163,475,30
4/30/2020,Stark,Illinois,175,1,0
4/30/2020,Stephenson,Illinois,177,35,0
4/30/2020,Tazewell,Illinois,179,45,3
4/30/2020,Union,Illinois,181,17,0
4/30/2020,Vermilion,Illinois,183,17,1
4/30/2020,Wabash,Illinois,185,1,0
4/30/2020,Warren,Illinois,187,62,0
4/30/2020,Washington,Illinois,189,10,0
4/30/2020,Wayne,Illinois,191,2,0
4/30/2020,White,Illinois,193,2,0
4/30/2020,Whiteside,Illinois,195,84,6
4/30/2020,Will,Illinois,197,2492,151
4/30/2020,Williamson,Illinois,199,31,0
4/30/2020,Winnebago,Illinois,201,442,14
4/30/2020,Woodford,Illinois,203,13,1
